	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
47	Beijing-Liu-2007-201-131-1	Beijing	Liu-2007-201-131	tʰ a̠ ⁵⁵	beij1234	1211	HE	226	
48	Beijing-Liu-2007-201-132-1	Beijing	Liu-2007-201-132	tʰ a̠ ⁵⁵ + m ə n ³⁵	beij1234	817	THEY	226	
49	Beijing-Liu-2007-201-132-1	Beijing	Liu-2007-201-132	tʰ a̠ ⁵⁵ + m ə n ³⁵	beij1234	817	THEY	195	
50	Beijing-Liu-2007-201-133-1	Beijing	Liu-2007-201-133	tʰ ai ⁵¹ + j ɑ ŋ ³⁵	beij1234	1343	SUN	239	
51	Beijing-Liu-2007-201-133-1	Beijing	Liu-2007-201-133	tʰ ai ⁵¹ + j ɑ ŋ ³⁵	beij1234	1343	SUN	240	
52	Beijing-Liu-2007-201-134-1	Beijing	Liu-2007-201-134	tʰ ɑ ŋ ²¹³	beij1234	1411	LIE (REST)	244	
53	Beijing-Liu-2007-201-135-1	Beijing	Liu-2007-201-135	tʰ j ɛ n ⁵⁵	beij1234	1225	DAY (NOT NIGHT)	247	
54	Beijing-Liu-2007-201-136-1	Beijing	Liu-2007-201-136	tʰ j ɛ n ⁵⁵ + kʰ u ŋ ⁵⁵	beij1234	1732	SKY	247	
55	Beijing-Liu-2007-201-136-1	Beijing	Liu-2007-201-136	tʰ j ɛ n ⁵⁵ + kʰ u ŋ ⁵⁵	beij1234	1732	SKY	248	
56	Beijing-Liu-2007-201-137-1	Beijing	Liu-2007-201-137	tʰ i ŋ ⁵⁵ + tɕ j ɛ n ⁵¹	beij1234	1408	HEAR	252	
57	Beijing-Liu-2007-201-137-1	Beijing	Liu-2007-201-137	tʰ i ŋ ⁵⁵ + tɕ j ɛ n ⁵¹	beij1234	1408	HEAR	253	
58	Beijing-Liu-2007-201-138-1	Beijing	Liu-2007-201-138	tʰ ou ³⁵	beij1234	1256	HEAD	79	
61	Beijing-Liu-2007-201-14-1	Beijing	Liu-2007-201-14	ʈʂʰ ʅ ⁵⁵	beij1234	1336	EAT	547	
62	Beijing-Liu-2007-201-140-1	Beijing	Liu-2007-201-140	tʰ u ²¹³ + t i ⁵¹	beij1234	1228	EARTH (SOIL)	264	
63	Beijing-Liu-2007-201-140-1	Beijing	Liu-2007-201-140	tʰ u ²¹³ + t i ⁵¹	beij1234	1228	EARTH (SOIL)	265	
64	Beijing-Liu-2007-201-141-1	Beijing	Liu-2007-201-141	tʰ u ⁵¹	beij1234	1440	SPIT	1	
65	Beijing-Liu-2007-201-142-1	Beijing	Liu-2007-201-142	tʰ w ei ⁵⁵	beij1234	1452	PUSH	268	
66	Beijing-Liu-2007-201-143-1	Beijing	Liu-2007-201-143	tʰ w ei ²¹³	beij1234	1297	LEG	275	
67	Beijing-Liu-2007-201-144-1	Beijing	Liu-2007-201-144	w a̠ ⁵⁵	beij1234	1418	DIG	280	
68	Beijing-Liu-2007-201-145-1	Beijing	Liu-2007-201-145	w a ³⁵	beij1234	1413	PLAY	285	
69	Beijing-Liu-2007-201-146-1	Beijing	Liu-2007-201-146	w a n ²¹³ + ʂ ɑ ŋ ⁵¹	beij1234	1233	NIGHT	295	
70	Beijing-Liu-2007-201-146-1	Beijing	Liu-2007-201-146	w a n ²¹³ + ʂ ɑ ŋ ⁵¹	beij1234	1233	NIGHT	249	
71	Beijing-Liu-2007-201-147-1	Beijing	Liu-2007-201-147	w ei ²¹³	beij1234	1220	TAIL	308	
72	Beijing-Liu-2007-201-148-1	Beijing	Liu-2007-201-148	w ə n ³⁵	beij1234	1586	SMELL (PERCEIVE)	310	
73	Beijing-Liu-2007-201-149-1	Beijing	Liu-2007-201-149	w o ²¹³	beij1234	1209	I	313	
74	Beijing-Liu-2007-201-15-1	Beijing	Liu-2007-201-15	ʈʂʰ ʅ ⁵¹ + p ɑ ²¹⁴	beij1234	1257	WING	551	
75	Beijing-Liu-2007-201-15-1	Beijing	Liu-2007-201-15	ʈʂʰ ʅ ⁵¹ + p ɑ ²¹⁴	beij1234	1257	WING	276	
76	Beijing-Liu-2007-201-150-1	Beijing	Liu-2007-201-150	w o ²¹³ + m ə n ³⁵	beij1234	1212	WE	313	
77	Beijing-Liu-2007-201-150-1	Beijing	Liu-2007-201-150	w o ²¹³ + m ə n ³⁵	beij1234	1212	WE	195	
78	Beijing-Liu-2007-201-151-1	Beijing	Liu-2007-201-151	u ²¹³	beij1234	493	FIVE	324	
79	Beijing-Liu-2007-201-152-1	Beijing	Liu-2007-201-152	u ⁵¹	beij1234	249	FOG	325	
81	Beijing-Liu-2007-201-154-1	Beijing	Liu-2007-201-154	ɕ i ²¹³	beij1234	1453	WASH	346	
83	Beijing-Liu-2007-201-156-1	Beijing	Liu-2007-201-156	ɕ j ɑu ²¹³	beij1234	1246	SMALL	49	
84	Beijing-Liu-2007-201-157-1	Beijing	Liu-2007-201-157	ɕ j ɑu ⁵¹	beij1234	1355	LAUGH	350	
85	Beijing-Liu-2007-201-158-1	Beijing	Liu-2007-201-158	ɕ i n ⁵⁵	beij1234	1223	HEART	352	
86	Beijing-Liu-2007-201-158-2	Beijing	Liu-2007-201-158	ɕ i n ⁵⁵ + ts ɑ ŋ ⁵¹	beij1234	1223	HEART	352	
87	Beijing-Liu-2007-201-158-2	Beijing	Liu-2007-201-158	ɕ i n ⁵⁵ + ts ɑ ŋ ⁵¹	beij1234	1223	HEART	353	
88	Beijing-Liu-2007-201-159-1	Beijing	Liu-2007-201-159	ɕ i n ⁵⁵	beij1234	1231	NEW	355	
89	Beijing-Liu-2007-201-16-1	Beijing	Liu-2007-201-16	ʈʂʰ u ŋ ³⁵	beij1234	1219	WORM	159	
90	Beijing-Liu-2007-201-160-1	Beijing	Liu-2007-201-160	ɕ i ŋ ⁵⁵ + ɕ i ŋ ⁰	beij1234	1430	STAR	356	
91	Beijing-Liu-2007-201-160-1	Beijing	Liu-2007-201-160	ɕ i ŋ ⁵⁵ + ɕ i ŋ ⁰	beij1234	1430	STAR	318	
92	Beijing-Liu-2007-201-161-1	Beijing	Liu-2007-201-161	ɕ ɥ ɛ ²¹³	beij1234	784	SNOW	358	
93	Beijing-Liu-2007-201-162-1	Beijing	Liu-2007-201-162	ɕ ɥ ɛ ²¹³	beij1234	946	BLOOD	359	
94	Beijing-Liu-2007-201-163-1	Beijing	Liu-2007-201-163	j a̠ ⁵⁵	beij1234	1414	SQUEEZE	360	
95	Beijing-Liu-2007-201-164-1	Beijing	Liu-2007-201-164	j a̠ ³⁵ + ʈʂʰ ʅ ²¹³	beij1234	1380	TOOTH	363	
96	Beijing-Liu-2007-201-164-1	Beijing	Liu-2007-201-164	j a̠ ³⁵ + ʈʂʰ ʅ ²¹³	beij1234	1380	TOOTH	364	
97	Beijing-Liu-2007-201-165-1	Beijing	Liu-2007-201-165	j ɛ n ⁵⁵	beij1234	778	SMOKE (EXHAUST)	366	
98	Beijing-Liu-2007-201-166-1	Beijing	Liu-2007-201-166	j ɛ n ³⁵	beij1234	1274	SALT	367	
99	Beijing-Liu-2007-201-167-1	Beijing	Liu-2007-201-167	j ɛ n ²¹³ + tɕ i ŋ ⁵⁵	beij1234	1248	EYE	369	
100	Beijing-Liu-2007-201-167-1	Beijing	Liu-2007-201-167	j ɛ n ²¹³ + tɕ i ŋ ⁵⁵	beij1234	1248	EYE	370	
101	Beijing-Liu-2007-201-168-1	Beijing	Liu-2007-201-168	j ɑu ²¹³	beij1234	1403	BITE	377	
102	Beijing-Liu-2007-201-169-1	Beijing	Liu-2007-201-169	j ɛ ⁵¹	beij1234	628	LEAF	380	
103	Beijing-Liu-2007-201-17-1	Beijing	Liu-2007-201-17	ʈʂʰ w ei ⁵⁵	beij1234	175	BLOW (OF WIND)	555	
104	Beijing-Liu-2007-201-170-1	Beijing	Liu-2007-201-170	i ⁵⁵	beij1234	1493	ONE	381	
105	Beijing-Liu-2007-201-171-1	Beijing	Liu-2007-201-171	i n ⁵⁵ + w ei ⁰	beij1234	1157	BECAUSE	383	
106	Beijing-Liu-2007-201-171-1	Beijing	Liu-2007-201-171	i n ⁵⁵ + w ei ⁰	beij1234	1157	BECAUSE	384	
107	Beijing-Liu-2007-201-172-1	Beijing	Liu-2007-201-172	j ou ³⁵ + ʂ w ei ²¹³	beij1234	1439	SWIM	387	
108	Beijing-Liu-2007-201-172-1	Beijing	Liu-2007-201-172	j ou ³⁵ + ʂ w ei ²¹³	beij1234	1439	SWIM	194	
109	Beijing-Liu-2007-201-173-1	Beijing	Liu-2007-201-173	j ou ⁵¹ + p j ə n ⁵⁵	beij1234	1019	RIGHT	395	
110	Beijing-Liu-2007-201-173-1	Beijing	Liu-2007-201-173	j ou ⁵¹ + p j ə n ⁵⁵	beij1234	1019	RIGHT	396	
111	Beijing-Liu-2007-201-174-1	Beijing	Liu-2007-201-174	y ³⁵	beij1234	227	FISH	402	
112	Beijing-Liu-2007-201-175-1	Beijing	Liu-2007-201-175	y ²¹³ + m ɑu ³⁵	beij1234	1201	FEATHER	403	
113	Beijing-Liu-2007-201-175-1	Beijing	Liu-2007-201-175	y ²¹³ + m ɑu ³⁵	beij1234	1201	FEATHER	263	
116	Beijing-Liu-2007-201-178-1	Beijing	Liu-2007-201-178	ɥ ɛ n ²¹³	beij1234	1406	FAR	409	
119	Beijing-Liu-2007-201-18-1	Beijing	Liu-2007-201-18	tsʰ ɿ ⁵¹	beij1234	1434	STAB	557	
120	Beijing-Liu-2007-201-180-1	Beijing	Liu-2007-201-180	y n ³⁵	beij1234	1489	CLOUD	414	
121	Beijing-Liu-2007-201-181-1	Beijing	Liu-2007-201-181	ts ai ⁵¹	beij1234	1460	IN	416	
122	Beijing-Liu-2007-201-182-1	Beijing	Liu-2007-201-182	ts ɑ ŋ ⁵⁵	beij1234	1230	DIRTY	417	
123	Beijing-Liu-2007-201-183-1	Beijing	Liu-2007-201-183	ts ə n ²¹³ + m ə ⁰	beij1234	1239	HOW	437	
124	Beijing-Liu-2007-201-183-1	Beijing	Liu-2007-201-183	ts ə n ²¹³ + m ə ⁰	beij1234	1239	HOW	438	
125	Beijing-Liu-2007-201-184-1	Beijing	Liu-2007-201-184	ʈʂ ai ²¹³	beij1234	1267	NARROW	455	
126	Beijing-Liu-2007-201-185-1	Beijing	Liu-2007-201-185	ʈʂ a n ⁵¹	beij1234	1442	STAND	457	
127	Beijing-Liu-2007-201-186-1	Beijing	Liu-2007-201-186	ai ⁵¹ + ʐ ə n ³⁵	beij1234	1200	HUSBAND	462	
128	Beijing-Liu-2007-201-186-1	Beijing	Liu-2007-201-186	ai ⁵¹ + ʐ ə n ³⁵	beij1234	1200	HUSBAND	38	
129	Beijing-Liu-2007-201-186-2	Beijing	Liu-2007-201-186	l ɑu ²¹³ + k u ŋ ⁵⁵	beij1234	1200	HUSBAND	27	
130	Beijing-Liu-2007-201-186-2	Beijing	Liu-2007-201-186	l ɑu ²¹³ + k u ŋ ⁵⁵	beij1234	1200	HUSBAND	80	
131	Beijing-Liu-2007-201-187-1	Beijing	Liu-2007-201-187	ʈʂ ɤ ⁵¹	beij1234	1214	THIS	478	
132	Beijing-Liu-2007-201-188-1	Beijing	Liu-2007-201-188	ʈʂ ɤ ⁵¹ + l i ²¹³	beij1234	136	HERE	478	
133	Beijing-Liu-2007-201-188-1	Beijing	Liu-2007-201-188	ʈʂ ɤ ⁵¹ + l i ²¹³	beij1234	136	HERE	52	
134	Beijing-Liu-2007-201-189-1	Beijing	Liu-2007-201-189	ʈʂ ʅ ⁵⁵ + t ɑu ⁵¹	beij1234	1410	KNOW (SOMETHING)	494	
135	Beijing-Liu-2007-201-189-1	Beijing	Liu-2007-201-189	ʈʂ ʅ ⁵⁵ + t ɑu ⁵¹	beij1234	1410	KNOW (SOMETHING)	495	
137	Beijing-Liu-2007-201-190-1	Beijing	Liu-2007-201-190	ʈʂ ʅ ²¹³ + f ɑ ŋ ³⁵	beij1234	323	FAT (ORGANIC SUBSTANCE)	504	
138	Beijing-Liu-2007-201-190-1	Beijing	Liu-2007-201-190	ʈʂ ʅ ²¹³ + f ɑ ŋ ³⁵	beij1234	323	FAT (ORGANIC SUBSTANCE)	505	
139	Beijing-Liu-2007-201-191-1	Beijing	Liu-2007-201-191	ʈʂ ʅ ³⁵	beij1234	1404	STRAIGHT	512	
140	Beijing-Liu-2007-201-192-1	Beijing	Liu-2007-201-192	ts u ŋ ²¹³	beij1234	1573	SWELL	513	
141	Beijing-Liu-2007-201-193-1	Beijing	Liu-2007-201-193	ʈʂ u ŋ ²¹³ + ts ə ⁰	beij1234	714	SEED	515	
142	Beijing-Liu-2007-201-193-1	Beijing	Liu-2007-201-193	ʈʂ u ŋ ²¹³ + ts ə ⁰	beij1234	714	SEED	19	
143	Beijing-Liu-2007-201-194-1	Beijing	Liu-2007-201-194	ʈʂ u ŋ ⁵¹	beij1234	1210	HEAVY	517	
144	Beijing-Liu-2007-201-195-1	Beijing	Liu-2007-201-195	ʈʂ w a̠ ⁵⁵	beij1234	1436	SCRATCH	518	
146	Beijing-Liu-2007-201-197-1	Beijing	Liu-2007-201-197	ʈʂ w a n ²¹³	beij1234	1444	TURN AROUND	529	
147	Beijing-Liu-2007-201-198-1	Beijing	Liu-2007-201-198	ts ou ²¹³	beij1234	1443	WALK	531	
148	Beijing-Liu-2007-201-199-1	Beijing	Liu-2007-201-199	ts w ei ²¹³	beij1234	674	MOUTH	147	
149	Beijing-Liu-2007-201-2-1	Beijing	Liu-2007-201-2	p ei ⁵¹	beij1234	1291	BACK	72	
150	Beijing-Liu-2007-201-20-1	Beijing	Liu-2007-201-20	t ɑ ²¹⁴ + tɕ j ɑ ⁵¹	beij1234	1423	FIGHT	115	
151	Beijing-Liu-2007-201-20-1	Beijing	Liu-2007-201-20	t ɑ ²¹⁴ + tɕ j ɑ ⁵¹	beij1234	1423	FIGHT	563	
152	Beijing-Liu-2007-201-200-1	Beijing	Liu-2007-201-200	ts w o ²¹³ + p j ɛ n ⁵⁵	beij1234	244	LEFT	534	
153	Beijing-Liu-2007-201-200-1	Beijing	Liu-2007-201-200	ts w o ²¹³ + p j ɛ n ⁵⁵	beij1234	244	LEFT	396	
154	Beijing-Liu-2007-201-201-1	Beijing	Liu-2007-201-201	ts w o ⁵¹	beij1234	1416	SIT	536	
155	Beijing-Liu-2007-201-21-1	Beijing	Liu-2007-201-21	t a̠ ²¹³ + l j ɛ ⁵¹	beij1234	1435	HUNT	115	
156	Beijing-Liu-2007-201-21-1	Beijing	Liu-2007-201-21	t a̠ ²¹³ + l j ɛ ⁵¹	beij1234	1435	HUNT	572	
157	Beijing-Liu-2007-201-22-1	Beijing	Liu-2007-201-22	t ɑ ⁵¹	beij1234	1202	BIG	34	
158	Beijing-Liu-2007-201-23-1	Beijing	Liu-2007-201-23	t ɛ ⁵⁵	beij1234	379	BLUNT	574	
159	Beijing-Liu-2007-201-24-1	Beijing	Liu-2007-201-24	t j ɑu ⁵¹	beij1234	1280	FALL	581	
160	Beijing-Liu-2007-201-25-1	Beijing	Liu-2007-201-25	t u ŋ ⁵¹ + u ⁵¹	beij1234	619	ANIMAL	588	
161	Beijing-Liu-2007-201-25-1	Beijing	Liu-2007-201-25	t u ŋ ⁵¹ + u ⁵¹	beij1234	619	ANIMAL	179	
162	Beijing-Liu-2007-201-26-1	Beijing	Liu-2007-201-26	t u ⁵¹ + tsʰ ɿ ⁰	beij1234	1251	BELLY	278	
163	Beijing-Liu-2007-201-26-1	Beijing	Liu-2007-201-26	t u ⁵¹ + tsʰ ɿ ⁰	beij1234	1251	BELLY	19	
164	Beijing-Liu-2007-201-27-1	Beijing	Liu-2007-201-27	t w a n ²¹⁴	beij1234	1645	SHORT	592	
165	Beijing-Liu-2007-201-28-1	Beijing	Liu-2007-201-28	t w ei ⁵¹	beij1234	1725	CORRECT (RIGHT)	593	
166	Beijing-Liu-2007-201-29-1	Beijing	Liu-2007-201-29	t w o ⁵⁵	beij1234	1198	MANY	595	
167	Beijing-Liu-2007-201-3-1	Beijing	Liu-2007-201-3	p i ³⁵ + ts ɿ ⁰	beij1234	1221	NOSE	77	
168	Beijing-Liu-2007-201-3-1	Beijing	Liu-2007-201-3	p i ³⁵ + ts ɿ ⁰	beij1234	1221	NOSE	19	
169	Beijing-Liu-2007-201-30-1	Beijing	Liu-2007-201-30	ə ²¹⁴	beij1234	1247	EAR	596	
170	Beijing-Liu-2007-201-31-1	Beijing	Liu-2007-201-31	ə ⁵¹	beij1234	1498	TWO	598	
171	Beijing-Liu-2007-201-31-2	Beijing	Liu-2007-201-31	l j ɑ ŋ ²¹⁴	beij1234	1498	TWO	599	
172	Beijing-Liu-2007-201-32-1	Beijing	Liu-2007-201-32	f ei ⁵⁵	beij1234	1441	FLY (MOVE THROUGH AIR)	600	
173	Beijing-Liu-2007-201-33-1	Beijing	Liu-2007-201-33	f ə ŋ ⁵⁵	beij1234	960	WIND	601	
174	Beijing-Liu-2007-201-34-1	Beijing	Liu-2007-201-34	f ə ŋ ³⁵	beij1234	1457	SEW	602	
175	Beijing-Liu-2007-201-35-1	Beijing	Liu-2007-201-35	f u ²¹⁴ + l a n ⁵¹	beij1234	1728	ROTTEN	607	
176	Beijing-Liu-2007-201-35-1	Beijing	Liu-2007-201-35	f u ²¹⁴ + l a n ⁵¹	beij1234	1728	ROTTEN	608	
177	Beijing-Liu-2007-201-36-1	Beijing	Liu-2007-201-36	p a̠ ⁵¹ + p a̠ ⁰	beij1234	1217	FATHER	470	
178	Beijing-Liu-2007-201-36-1	Beijing	Liu-2007-201-36	p a̠ ⁵¹ + p a̠ ⁰	beij1234	1217	FATHER	803	
179	Beijing-Liu-2007-201-36-2	Beijing	Liu-2007-201-36	f u ⁵¹	beij1234	1217	FATHER	610	
180	Beijing-Liu-2007-201-37-1	Beijing	Liu-2007-201-37	k a n ⁵⁵	beij1234	1398	DRY	565	
181	Beijing-Liu-2007-201-38-1	Beijing	Liu-2007-201-38	k a n ⁵⁵	beij1234	1224	LIVER	619	
182	Beijing-Liu-2007-201-39-1	Beijing	Liu-2007-201-39	k ei ²¹⁴	beij1234	1447	GIVE	620	
183	Beijing-Liu-2007-201-4-1	Beijing	Liu-2007-201-4	p i ŋ ⁵⁵	beij1234	617	ICE	83	
184	Beijing-Liu-2007-201-40-1	Beijing	Liu-2007-201-40	k ə ⁵⁵	beij1234	670	ROOT	93	
185	Beijing-Liu-2007-201-41-1	Beijing	Liu-2007-201-41	k ou ²¹⁴	beij1234	2009	DOG	630	
186	Beijing-Liu-2007-201-42-1	Beijing	Liu-2007-201-42	k u ²¹⁴	beij1234	1394	BONE	94	
187	Beijing-Liu-2007-201-43-1	Beijing	Liu-2007-201-43	k w ə n ⁵¹	beij1234	1295	STICK	634	
188	Beijing-Liu-2007-201-44-1	Beijing	Liu-2007-201-44	x ɛ ³⁵	beij1234	1304	CHILD (YOUNG HUMAN)	636	
189	Beijing-Liu-2007-201-45-1	Beijing	Liu-2007-201-45	x ɛ ²¹⁴	beij1234	1474	SEA	641	
190	Beijing-Liu-2007-201-46-1	Beijing	Liu-2007-201-46	x ɑu ²¹⁴	beij1234	1035	GOOD	642	
191	Beijing-Liu-2007-201-47-1	Beijing	Liu-2007-201-47	x ɤ ⁵⁵	beij1234	1401	DRINK	646	
192	Beijing-Liu-2007-201-48-1	Beijing	Liu-2007-201-48	x ɤ ³⁵	beij1234	1577	AND	448	
194	Beijing-Liu-2007-201-5-1	Beijing	Liu-2007-201-5	p o ³⁵ + ts ɿ ⁰	beij1234	1333	NECK	88	
195	Beijing-Liu-2007-201-5-1	Beijing	Liu-2007-201-5	p o ³⁵ + ts ɿ ⁰	beij1234	1333	NECK	19	
196	Beijing-Liu-2007-201-50-1	Beijing	Liu-2007-201-50	tɕ j ɑ ŋ ⁵⁵	beij1234	666	RIVER	653	
197	Beijing-Liu-2007-201-51-1	Beijing	Liu-2007-201-51	x ei ⁵⁵	beij1234	163	BLACK	296	
198	Beijing-Liu-2007-201-52-1	Beijing	Liu-2007-201-52	x u ŋ ³⁵	beij1234	156	RED	654	
199	Beijing-Liu-2007-201-53-1	Beijing	Liu-2007-201-53	x ou ⁵¹	beij1234	1244	THICK	655	
200	Beijing-Liu-2007-201-54-1	Beijing	Liu-2007-201-54	x u ⁵⁵ + ɕ i ⁵⁵	beij1234	1407	BREATHE	203	
201	Beijing-Liu-2007-201-54-1	Beijing	Liu-2007-201-54	x u ⁵⁵ + ɕ i ⁵⁵	beij1234	1407	BREATHE	198	
202	Beijing-Liu-2007-201-55-1	Beijing	Liu-2007-201-55	x u ³⁵	beij1234	624	LAKE	661	
203	Beijing-Liu-2007-201-56-1	Beijing	Liu-2007-201-56	x w a ⁵⁵	beij1234	239	FLOWER	662	
204	Beijing-Liu-2007-201-57-1	Beijing	Liu-2007-201-57	x ai ⁵¹	beij1234	1292	BAD	663	
205	Beijing-Liu-2007-201-58-1	Beijing	Liu-2007-201-58	x w ɑ ŋ ³⁵	beij1234	1424	YELLOW	302	
206	Beijing-Liu-2007-201-59-1	Beijing	Liu-2007-201-59	x w ei ⁵⁵	beij1234	646	ASH	542	
208	Beijing-Liu-2007-201-60-1	Beijing	Liu-2007-201-60	x w o ³⁵ + t ɤ ⁰	beij1234	1422	BE ALIVE	424	
209	Beijing-Liu-2007-201-60-1	Beijing	Liu-2007-201-60	x w o ³⁵ + t ɤ ⁰	beij1234	1422	BE ALIVE	255	
210	Beijing-Liu-2007-201-61-1	Beijing	Liu-2007-201-61	x w o ²¹⁴	beij1234	221	FIRE	672	
211	Beijing-Liu-2007-201-62-1	Beijing	Liu-2007-201-62	tɕ i ⁵⁵ + t a n ⁵¹	beij1234	744	EGG	673	
212	Beijing-Liu-2007-201-62-1	Beijing	Liu-2007-201-62	tɕ i ⁵⁵ + t a n ⁵¹	beij1234	744	EGG	674	
213	Beijing-Liu-2007-201-63-1	Beijing	Liu-2007-201-63	tɕ j ɛ n ⁵⁵	beij1234	1396	SHARP	676	
