	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	ISO_CODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
100	Beijing-2_moon-1	Beijing	2_moon	ɥ ɛ ⁵¹ + l j ɑ ŋ ¹	beij1234	nan	1313.0	MOON	659	
101	Beijing-32_pig-1	Beijing	32_pig	ʈʂ u ⁵⁵	beij1234	nan	1337.0	PIG	558	
102	Beijing-35_rooster-1	Beijing	35_rooster	k u ŋ ⁵⁵ + tɕ i ⁵⁵	beij1234	nan	1511.0	ROOSTER	412	
103	Beijing-36_chicken-1	Beijing	36_chicken	m u ²¹⁴ + tɕ i ⁵⁵	beij1234	nan	1318.0	CHICKEN	1127	
104	Beijing-37_sparrow-1	Beijing	37_sparrow	tɕ j a ⁵⁵ + tɕʰ j ɑ w i ɑ u r ²¹⁴	beij1234	nan	1854.0	SPARROW	91	
105	Beijing-38_mouse-1	Beijing	38_mouse	x ɑ w ⁵¹ + ts ɿ ¹	beij1234	nan	1491.0	MOUSE	45	
106	Beijing-39_bedbug-1	Beijing	39_bedbug	ʈʂʰ o w ⁵¹ + ʈʂʰ u ŋ ¹	beij1234	nan	1949.0	BEDBUG	1064	
107	Beijing-3_star-1	Beijing	3_star	ɕ i ŋ ⁵⁵ + ɕ i ŋ ²	beij1234	nan	1430.0	STAR	6	
108	Beijing-40_house-1	Beijing	40_house	f ɑ ŋ ³⁵ + ts ɿ ³	beij1234	nan	1252.0	HOUSE	1003	
109	Beijing-42_window-1	Beijing	42_window	ʈʂʰ w ɑ ŋ ⁵⁵ + x u ²	beij1234	nan	1375.0	WINDOW	1149	
110	Beijing-43_doorsills-1	Beijing	43_doorsills	m ə n ³⁵ + kʰ a r ²¹⁴	beij1234	nan	2185.0	DOORSILLS	612	
111	Beijing-45_kitchen-1	Beijing	45_kitchen	ʈʂʰ u ³⁵ + f ɑ ŋ ³⁵	beij1234	nan	1365.0	KITCHEN	514	
112	Beijing-46_chimney-1	Beijing	46_chimney	j a n ⁵⁵ + tʰ u ŋ ²	beij1234	nan	1305.0	CHIMNEY	538	
113	Beijing-47_table-1	Beijing	47_table	ʈʂ w o ⁵⁵ + ts ɿ ²	beij1234	nan	1775.0	TABLE	718	
114	Beijing-48_stairs-1	Beijing	48_stairs	l o w ³⁵ + tʰ i ⁵⁵	beij1234	nan	34.0	STAIRS	1035	
115	Beijing-49_head-1	Beijing	49_head	n ɑ w ²¹⁴ + t a j ⁴	beij1234	nan	1256.0	HEAD	374	
116	Beijing-49_head-2	Beijing	49_head	n ɑ w ²¹⁴ + t a j ⁴ + k w a r ⁵⁵	beij1234	nan	1256.0	HEAD	498	
117	Beijing-49_head-3	Beijing	49_head	tʰ o w ³⁵	beij1234	nan	1256.0	HEAD	944	
118	Beijing-4_thunderverb-1	Beijing	4_thunderverb	t a ²¹⁴ + l e j ³⁵	beij1234	nan	2378.0	THUNDER (VERB)	97	
119	Beijing-50_forehead-1	Beijing	50_forehead	n ɑ w ²¹⁴ + m ə r ³⁵	beij1234	nan	123.0	FOREHEAD	717	
120	Beijing-51_face-1	Beijing	51_face	l j a n ²¹⁴	beij1234	nan	1560.0	FACE	896	
121	Beijing-52_nose-1	Beijing	52_nose	p i ³⁵ + ts ɿ ³	beij1234	nan	1221.0	NOSE	28	
122	Beijing-53_neck-1	Beijing	53_neck	p o ³⁵ + k ə̃ r ²¹⁴	beij1234	nan	1333.0	NECK	453	
123	Beijing-53_neck-2	Beijing	53_neck	p o ³⁵ + ts ɿ ³	beij1234	nan	1333.0	NECK	502	
124	Beijing-54_lefthand-1	Beijing	54_lefthand	ts w o ²¹⁴ + ʂ o w ²¹⁴	beij1234	nan	2182.0	LEFT HAND	1080	
125	Beijing-55_righthand-1	Beijing	55_righthand	j o w i/j o u ⁵¹ + ʂ o w ²¹⁴	beij1234	nan	2183.0	RIGHT HAND	181	
126	Beijing-56_fist-1	Beijing	56_fist	tɕʰ ɥ a n ³⁵ + tʰ o w ³	beij1234	nan	1473.0	FIST	723	
127	Beijing-57_forefinger-1	Beijing	57_forefinger	ʂ o w ²¹⁴ + ʈʂ ʅ ²¹⁴ + tʰ o w ⁴	beij1234	nan	577.0	FOREFINGER	853	
128	Beijing-58_fingernail-1	Beijing	58_fingernail	ʈʂ ʅ ⁵⁵ + tɕ j a ²	beij1234	nan	1258.0	FINGERNAIL	120	
129	Beijing-59_knee-1	Beijing	59_knee	p o ⁵⁵ + l ə ŋ ² + k a r ⁵¹	beij1234	nan	1371.0	KNEE	1020	
130	Beijing-5_flashverb-1	Beijing	5_flashverb	ʂ a n ²¹⁴ + t j a n ⁵¹	beij1234	nan	2377.0	FLASH (VERB)	86	
131	Beijing-60_leg-1	Beijing	60_leg	tʰ w e j u/w e i ²¹⁴	beij1234	nan	1297.0	LEG	1201	
132	Beijing-61_father-1	Beijing	61_father	t j ɛ ⁵⁵	beij1234	nan	1217.0	FATHER	264	
133	Beijing-61_father-2	Beijing	61_father	p a ⁵¹	beij1234	nan	1217.0	FATHER	143	
134	Beijing-61_father-3	Beijing	61_father	l ɑ w ²¹⁴ + j ɛ ³⁵ + ts ɿ ³	beij1234	nan	1217.0	FATHER	594	
135	Beijing-62_mother-1	Beijing	62_mother	n j ɑ ŋ ³⁵	beij1234	nan	1216.0	MOTHER	461	
136	Beijing-62_mother-2	Beijing	62_mother	m a ⁵⁵	beij1234	nan	1216.0	MOTHER	35	
137	Beijing-6_rain-1	Beijing	6_rain	ɕ j a ⁵¹ + y ²¹⁴	beij1234	nan	1253.0	RAIN (RAINING)	140	
138	Beijing-73_husband-1	Beijing	73_husband	n a n ³⁵ + ʐ ə n ³	beij1234	nan	1200.0	HUSBAND	1006	
139	Beijing-73_husband-2	Beijing	73_husband	t ɑ ŋ ⁵⁵ + tɕ j a ⁵⁵ + t ə ²	beij1234	nan	1200.0	HUSBAND	596	
140	Beijing-73_husband-3	Beijing	73_husband	j ɛ ³⁵ + m ə r ³	beij1234	nan	1200.0	HUSBAND	594	
141	Beijing-74_wife-1	Beijing	74_wife	ɕ i ³⁵ + f ə r ³	beij1234	nan	1199.0	WIFE	528	
142	Beijing-74_wife-2	Beijing	74_wife	l ɑ w ²¹⁴ + pʰ o ³⁵ + ts ɿ	beij1234	nan	1199.0	WIFE	594	
143	Beijing-75_son-1	Beijing	75_son	ə r ³⁵ + ts ɿ ³	beij1234	nan	1620.0	SON	1127	
144	Beijing-76_daughter-1	Beijing	76_daughter	k w e j u/w e i ⁵⁵ + n y ²	beij1234	nan	1357.0	DAUGHTER	119	
145	Beijing-76_daughter-2	Beijing	76_daughter	n y ²¹⁴ + ə r ⁴	beij1234	nan	1357.0	DAUGHTER	1127	
146	Beijing-77_breakfast-1	Beijing	77_breakfast	ts ɑ w ²¹⁴ + ʂ ɑ ŋ ⁴ + f a n	beij1234	nan	1322.0	BREAKFAST	481	
147	Beijing-77_breakfast-2	Beijing	77_breakfast	ts ɑ w ²¹⁴ + t j a n ²¹⁴	beij1234	nan	1322.0	BREAKFAST	286	
148	Beijing-78_lunch-1	Beijing	78_lunch	ʂ ɑ ŋ ²¹⁴ + u ³ + f a n ⁵¹	beij1234	nan	768.0	LUNCH	880	
149	Beijing-79_supper-1	Beijing	79_supper	w a n ²¹⁴ + f a n ⁵¹	beij1234	nan	1833.0	DINNER (SUPPER)	852	
150	Beijing-7_snow-1	Beijing	7_snow	ɕ j a ⁵¹ + ɕ ɥ ɛ ²¹⁴	beij1234	nan	1255.0	SNOWING	139	
151	Beijing-80_noodles-1	Beijing	80_noodles	m j a n ⁵¹ + tʰ j ɑ w i ɑ u r	beij1234	nan	973.0	NOODLE	664	
152	Beijing-80_noodles-2	Beijing	80_noodles	m j a n ⁵¹	beij1234	nan	973.0	NOODLE	229	
153	Beijing-85_soyasauce-1	Beijing	85_soyasauce	tɕ j ɑ ŋ ⁵¹ + j o w i/j o u ³⁵	beij1234	nan	1968.0	SOYA SAUCE	279	
154	Beijing-86_salt-1	Beijing	86_salt	j a n ³⁵	beij1234	nan	1274.0	SALT	669	
155	Beijing-87_chopsticks-1	Beijing	87_chopsticks	kʰ w a j u a i ⁵¹ + ts ɿ ¹	beij1234	nan	1987.0	CHOPSTICKS	818	
156	Beijing-88_spoon-1	Beijing	88_spoon	ʂ ɑ w ³⁵ + ts ɿ	beij1234	nan	1378.0	SPOON	1180	
157	Beijing-88_spoon-2	Beijing	88_spoon	ʂ ɑ w r ³⁵	beij1234	nan	1378.0	SPOON	1127	
158	Beijing-89_man-1	Beijing	89_man	j ɛ ³⁵ + m ə r ³	beij1234	nan	1554.0	MAN	594	
159	Beijing-89_man-2	Beijing	89_man	n a n ³⁵ + ʐ ə n	beij1234	nan	1554.0	MAN	1006	
160	Beijing-89_man-3	Beijing	89_man	n a n ³⁵ + t ə ³	beij1234	nan	1554.0	MAN	1049	
161	Beijing-8_hail-1	Beijing	8_hail	p ɑ w ³⁵ + ts ɿ ³	beij1234	nan	609.0	HAIL	31	
162	Beijing-90_woman-1	Beijing	90_woman	n y ²¹⁴ + ʐ ə n ³⁵	beij1234	nan	962.0	WOMAN	485	
163	Beijing-90_woman-2	Beijing	90_woman	n y ²¹⁴ + t ə ⁴	beij1234	nan	962.0	WOMAN	792	
164	Beijing-90_woman-3	Beijing	90_woman	n j ɑ̃ ³⁵ + m ə ³	beij1234	nan	962.0	WOMAN	461	
165	Beijing-91_boy-1	Beijing	91_boy	n a n ³⁵ + x a r	beij1234	nan	1366.0	BOY	324	
166	Beijing-91_boy-2	Beijing	91_boy	ɕ j ɑ w i ɑ u ²¹⁴ + ts ɿ ⁴	beij1234	nan	1366.0	BOY	562	
167	Beijing-92_girl-1	Beijing	92_girl	n y ²¹⁴ + x a r	beij1234	nan	1646.0	GIRL	520	
168	Beijing-92_girl-2	Beijing	92_girl	j a ⁵⁵ + tʰ o w ²	beij1234	nan	1646.0	GIRL	913	
169	Beijing-93_oldman-1	Beijing	93_oldman	l ɑ w ²¹⁴ + tʰ o w r ³⁵	beij1234	nan	406.0	OLD MAN	1058	
170	Beijing-94_doctor-1	Beijing	94_doctor	i ⁵⁵ + ʂ ə ŋ ²	beij1234	nan	597.0	PHYSICIAN	822	
171	Beijing-94_doctor-2	Beijing	94_doctor	t a j ⁵¹ + f u ¹	beij1234	nan	597.0	PHYSICIAN	35	
172	Beijing-96_beggar-1	Beijing	96_beggar	j ɑ w i ɑ u ⁵¹ + f a n ⁵¹ + t ə ¹	beij1234	nan	1934.0	BEGGAR	376	
173	Beijing-96_beggar-2	Beijing	96_beggar	tɕ j ɑ w i ɑ u ⁵¹ + x w a ⁵⁵ + ts ɿ ²	beij1234	nan	1934.0	BEGGAR	794	
174	Beijing-97_nurse-1	Beijing	97_nurse	p ɑ w ²¹⁴ + m u ²¹⁴	beij1234	nan	1104.0	NURSE	378	
175	Beijing-97_nurse-2	Beijing	97_nurse	l ɑ w ²¹⁴ + m a ⁵⁵ + ts ɿ ²	beij1234	nan	1104.0	NURSE	594	
176	Beijing-98_becomesick-1	Beijing	98_becomesick	p i ŋ ⁵¹ + l ə ¹	beij1234	nan	1847.0	SICK	141	
177	Beijing-99_catchacold-1	Beijing	99_catchacold	ʂ ɑ ŋ ⁵⁵ + f ə ŋ ⁵⁵	beij1234	nan	2184.0	CATCH A COLD	240	
178	Beijing-99_catchacold-2	Beijing	99_catchacold	ʈʂ ɑ w ³⁵ + l j ɑ ŋ ³⁵	beij1234	nan	2184.0	CATCH A COLD	164	
179	Beijing-9_freeze-1	Beijing	9_freeze	tɕ j ɛ ⁵⁵ + p i ŋ ⁵⁵	beij1234	nan	1431.0	FREEZE	711	
180	Changsha-102_humpback-1	Changsha	102_humpback	t o ¹³ + ts ɿ	chan1326	nan	99.0	HUNCHBACK	174	
181	Changsha-103_die-1	Changsha	103_die	s ɿ ⁴¹ + k a t a	chan1326	nan	1494.0	DIE	742	
182	Changsha-103_die-2	Changsha	103_die	k o ⁵⁵ + k a t a	chan1326	nan	1494.0	DIE	824	
183	Changsha-103_die-3	Changsha	103_die	k w a ³³ + k a t a	chan1326	nan	1494.0	DIE	900	
184	Changsha-103_die-4	Changsha	103_die	t a n ¹³ + k a t a	chan1326	nan	1494.0	DIE	613	
185	Changsha-105_i-1	Changsha	105_i	ŋ o ⁴¹	chan1326	nan	1209.0	I	267	
186	Changsha-106_thou-1	Changsha	106_thou	ɲ i ⁴¹	chan1326	nan	1215.0	THOU	1185	
187	Changsha-107_he-1	Changsha	107_he	tʰ a ³³	chan1326	nan	1211.0	HE	704	
188	Changsha-108_we-1	Changsha	108_we	ŋ o ⁴¹ + m ə n	chan1326	nan	1212.0	WE	915	
189	Changsha-108_we-2	Changsha	108_we	ŋ ə w ²⁴ + u ²⁴ + l i	chan1326	nan	1212.0	WE	1142	
190	Changsha-109_you-1	Changsha	109_you	ɲ i ⁴¹ + m ə n	chan1326	nan	1213.0	YOU	1007	
191	Changsha-109_you-2	Changsha	109_you	ɲ j ə w i əu ²⁴ + u ²⁴ + l i	chan1326	nan	1213.0	YOU	1142	
192	Changsha-10_blow-1	Changsha	10_blow	tɕʰ i ⁴¹ + x o ŋ ³³	chan1326	nan	175.0	BLOW (OF WIND)	833	
193	Changsha-10_blow-2	Changsha	10_blow	f a ²⁴ + x o ŋ ³³	chan1326	nan	175.0	BLOW (OF WIND)	636	
194	Changsha-110_they-1	Changsha	110_they	tʰ a ³³ + m ə n	chan1326	nan	817.0	THEY	1200	
195	Changsha-110_they-2	Changsha	110_they	tʰ ə w ²⁴ + u ²⁴ + l i	chan1326	nan	817.0	THEY	1142	
196	Changsha-112_self-1	Changsha	112_self	ts ɿ ¹¹ + k a	chan1326	nan	1993.0	SELF	727	
197	Changsha-113_who-1	Changsha	113_who	l a j ⁴¹ + k o	chan1326	nan	1235.0	WHO	640	
198	Changsha-114_what-1	Changsha	114_what	m o ⁴¹ + ts ɿ	chan1326	nan	1236.0	WHAT	837	
199	Changsha-115_here-1	Changsha	115_here	k o ²⁴ + l i	chan1326	nan	136.0	HERE	766	
200	Changsha-115_here-2	Changsha	115_here	k o ²⁴ + kʰ w a j u a i ⁴¹ + ts ɿ	chan1326	nan	136.0	HERE	239	
201	Changsha-116_there-1	Changsha	116_there	l a ⁵⁵ + l i	chan1326	nan	1937.0	THERE	519	
202	Changsha-116_there-2	Changsha	116_there	l a ⁵⁵ + kʰ w a j u a i ⁴¹ + ts ɿ	chan1326	nan	1937.0	THERE	1082	
