	ID	DOCULECT	CONCEPT	Segments	GLOTTOCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS	COGNATES	FORM
83	Beijing-Liu-2007-201-156-1	Beijing	Liu-2007-201-156	ɕ j ɑu ²¹³	beij1234	1246	SMALL	49	
85	Beijing-Liu-2007-201-158-1	Beijing	Liu-2007-201-158	ɕ i n ⁵⁵	beij1234	1223	HEART	352	
86	Beijing-Liu-2007-201-158-2	Beijing	Liu-2007-201-158	ɕ i n ⁵⁵ + ts ɑ ŋ ⁵¹	beij1234	1223	HEART	352	
87	Beijing-Liu-2007-201-158-2	Beijing	Liu-2007-201-158	ɕ i n ⁵⁵ + ts ɑ ŋ ⁵¹	beij1234	1223	HEART	353	
88	Beijing-Liu-2007-201-159-1	Beijing	Liu-2007-201-159	ɕ i n ⁵⁵	beij1234	1231	NEW	355	
90	Beijing-Liu-2007-201-160-1	Beijing	Liu-2007-201-160	ɕ i ŋ ⁵⁵ + ɕ i ŋ ⁰	beij1234	1430	STAR	356	
91	Beijing-Liu-2007-201-160-1	Beijing	Liu-2007-201-160	ɕ i ŋ ⁵⁵ + ɕ i ŋ ⁰	beij1234	1430	STAR	318	
93	Beijing-Liu-2007-201-162-1	Beijing	Liu-2007-201-162	ɕ ɥ ɛ ²¹³	beij1234	946	BLOOD	359	
95	Beijing-Liu-2007-201-164-1	Beijing	Liu-2007-201-164	j a̠ ³⁵ + ʈʂʰ ʅ ²¹³	beij1234	1380	TOOTH	363	
96	Beijing-Liu-2007-201-164-1	Beijing	Liu-2007-201-164	j a̠ ³⁵ + ʈʂʰ ʅ ²¹³	beij1234	1380	TOOTH	364	
97	Beijing-Liu-2007-201-165-1	Beijing	Liu-2007-201-165	j ɛ n ⁵⁵	beij1234	778	SMOKE (EXHAUST)	366	
99	Beijing-Liu-2007-201-167-1	Beijing	Liu-2007-201-167	j ɛ n ²¹³ + tɕ i ŋ ⁵⁵	beij1234	1248	EYE	369	
100	Beijing-Liu-2007-201-167-1	Beijing	Liu-2007-201-167	j ɛ n ²¹³ + tɕ i ŋ ⁵⁵	beij1234	1248	EYE	370	
101	Beijing-Liu-2007-201-168-1	Beijing	Liu-2007-201-168	j ɑu ²¹³	beij1234	1403	BITE	377	
102	Beijing-Liu-2007-201-169-1	Beijing	Liu-2007-201-169	j ɛ ⁵¹	beij1234	628	LEAF	380	
104	Beijing-Liu-2007-201-170-1	Beijing	Liu-2007-201-170	i ⁵⁵	beij1234	1493	ONE	381	
107	Beijing-Liu-2007-201-172-1	Beijing	Liu-2007-201-172	j ou ³⁵ + ʂ w ei ²¹³	beij1234	1439	SWIM	387	
108	Beijing-Liu-2007-201-172-1	Beijing	Liu-2007-201-172	j ou ³⁵ + ʂ w ei ²¹³	beij1234	1439	SWIM	194	
111	Beijing-Liu-2007-201-174-1	Beijing	Liu-2007-201-174	y ³⁵	beij1234	227	FISH	402	
112	Beijing-Liu-2007-201-175-1	Beijing	Liu-2007-201-175	y ²¹³ + m ɑu ³⁵	beij1234	1201	FEATHER	403	
113	Beijing-Liu-2007-201-175-1	Beijing	Liu-2007-201-175	y ²¹³ + m ɑu ³⁵	beij1234	1201	FEATHER	263	
115	Beijing-Liu-2007-201-177-1	Beijing	Liu-2007-201-177	ɥ ɛ n ³⁵	beij1234	1395	ROUND	406	
117	Beijing-Liu-2007-201-179-1	Beijing	Liu-2007-201-179	ɥ ɛ ⁵¹ + l j ɑ ŋ ⁰	beij1234	1313	MOON	410	
118	Beijing-Liu-2007-201-179-1	Beijing	Liu-2007-201-179	ɥ ɛ ⁵¹ + l j ɑ ŋ ⁰	beij1234	1313	MOON	411	
120	Beijing-Liu-2007-201-180-1	Beijing	Liu-2007-201-180	y n ³⁵	beij1234	1489	CLOUD	414	
126	Beijing-Liu-2007-201-185-1	Beijing	Liu-2007-201-185	ʈʂ a n ⁵¹	beij1234	1442	STAND	457	
131	Beijing-Liu-2007-201-187-1	Beijing	Liu-2007-201-187	ʈʂ ɤ ⁵¹	beij1234	1214	THIS	478	
134	Beijing-Liu-2007-201-189-1	Beijing	Liu-2007-201-189	ʈʂ ʅ ⁵⁵ + t ɑu ⁵¹	beij1234	1410	KNOW (SOMETHING)	494	
135	Beijing-Liu-2007-201-189-1	Beijing	Liu-2007-201-189	ʈʂ ʅ ⁵⁵ + t ɑu ⁵¹	beij1234	1410	KNOW (SOMETHING)	495	
137	Beijing-Liu-2007-201-190-1	Beijing	Liu-2007-201-190	ʈʂ ʅ ²¹³ + f ɑ ŋ ³⁵	beij1234	323	FAT (ORGANIC SUBSTANCE)	504	
138	Beijing-Liu-2007-201-190-1	Beijing	Liu-2007-201-190	ʈʂ ʅ ²¹³ + f ɑ ŋ ³⁵	beij1234	323	FAT (ORGANIC SUBSTANCE)	505	
141	Beijing-Liu-2007-201-193-1	Beijing	Liu-2007-201-193	ʈʂ u ŋ ²¹³ + ts ə ⁰	beij1234	714	SEED	515	
142	Beijing-Liu-2007-201-193-1	Beijing	Liu-2007-201-193	ʈʂ u ŋ ²¹³ + ts ə ⁰	beij1234	714	SEED	19	
145	Beijing-Liu-2007-201-196-1	Beijing	Liu-2007-201-196	ʈʂ w a̠ ²¹³	beij1234	72	CLAW	526	
147	Beijing-Liu-2007-201-198-1	Beijing	Liu-2007-201-198	ts ou ²¹³	beij1234	1443	WALK	531	
148	Beijing-Liu-2007-201-199-1	Beijing	Liu-2007-201-199	ts w ei ²¹³	beij1234	674	MOUTH	147	
154	Beijing-Liu-2007-201-201-1	Beijing	Liu-2007-201-201	ts w o ⁵¹	beij1234	1416	SIT	536	
157	Beijing-Liu-2007-201-22-1	Beijing	Liu-2007-201-22	t ɑ ⁵¹	beij1234	1202	BIG	34	
162	Beijing-Liu-2007-201-26-1	Beijing	Liu-2007-201-26	t u ⁵¹ + tsʰ ɿ ⁰	beij1234	1251	BELLY	278	
163	Beijing-Liu-2007-201-26-1	Beijing	Liu-2007-201-26	t u ⁵¹ + tsʰ ɿ ⁰	beij1234	1251	BELLY	19	
166	Beijing-Liu-2007-201-29-1	Beijing	Liu-2007-201-29	t w o ⁵⁵	beij1234	1198	MANY	595	
167	Beijing-Liu-2007-201-3-1	Beijing	Liu-2007-201-3	p i ³⁵ + ts ɿ ⁰	beij1234	1221	NOSE	77	
168	Beijing-Liu-2007-201-3-1	Beijing	Liu-2007-201-3	p i ³⁵ + ts ɿ ⁰	beij1234	1221	NOSE	19	
169	Beijing-Liu-2007-201-30-1	Beijing	Liu-2007-201-30	ə ²¹⁴	beij1234	1247	EAR	596	
170	Beijing-Liu-2007-201-31-1	Beijing	Liu-2007-201-31	ə ⁵¹	beij1234	1498	TWO	598	
171	Beijing-Liu-2007-201-31-2	Beijing	Liu-2007-201-31	l j ɑ ŋ ²¹⁴	beij1234	1498	TWO	599	
172	Beijing-Liu-2007-201-32-1	Beijing	Liu-2007-201-32	f ei ⁵⁵	beij1234	1441	FLY (MOVE THROUGH AIR)	600	
180	Beijing-Liu-2007-201-37-1	Beijing	Liu-2007-201-37	k a n ⁵⁵	beij1234	1398	DRY	565	
181	Beijing-Liu-2007-201-38-1	Beijing	Liu-2007-201-38	k a n ⁵⁵	beij1234	1224	LIVER	619	
182	Beijing-Liu-2007-201-39-1	Beijing	Liu-2007-201-39	k ei ²¹⁴	beij1234	1447	GIVE	620	
184	Beijing-Liu-2007-201-40-1	Beijing	Liu-2007-201-40	k ə ⁵⁵	beij1234	670	ROOT	93	
185	Beijing-Liu-2007-201-41-1	Beijing	Liu-2007-201-41	k ou ²¹⁴	beij1234	2009	DOG	630	
186	Beijing-Liu-2007-201-42-1	Beijing	Liu-2007-201-42	k u ²¹⁴	beij1234	1394	BONE	94	
190	Beijing-Liu-2007-201-46-1	Beijing	Liu-2007-201-46	x ɑu ²¹⁴	beij1234	1035	GOOD	642	
191	Beijing-Liu-2007-201-47-1	Beijing	Liu-2007-201-47	x ɤ ⁵⁵	beij1234	1401	DRINK	646	
194	Beijing-Liu-2007-201-5-1	Beijing	Liu-2007-201-5	p o ³⁵ + ts ɿ ⁰	beij1234	1333	NECK	88	
195	Beijing-Liu-2007-201-5-1	Beijing	Liu-2007-201-5	p o ³⁵ + ts ɿ ⁰	beij1234	1333	NECK	19	
197	Beijing-Liu-2007-201-51-1	Beijing	Liu-2007-201-51	x ei ⁵⁵	beij1234	163	BLACK	296	
198	Beijing-Liu-2007-201-52-1	Beijing	Liu-2007-201-52	x u ŋ ³⁵	beij1234	156	RED	654	
205	Beijing-Liu-2007-201-58-1	Beijing	Liu-2007-201-58	x w ɑ ŋ ³⁵	beij1234	1424	YELLOW	302	
206	Beijing-Liu-2007-201-59-1	Beijing	Liu-2007-201-59	x w ei ⁵⁵	beij1234	646	ASH	542	
210	Beijing-Liu-2007-201-61-1	Beijing	Liu-2007-201-61	x w o ²¹⁴	beij1234	221	FIRE	672	
211	Beijing-Liu-2007-201-62-1	Beijing	Liu-2007-201-62	tɕ i ⁵⁵ + t a n ⁵¹	beij1234	744	EGG	673	
212	Beijing-Liu-2007-201-62-1	Beijing	Liu-2007-201-62	tɕ i ⁵⁵ + t a n ⁵¹	beij1234	744	EGG	674	
214	Beijing-Liu-2007-201-64-1	Beijing	Liu-2007-201-64	tɕ j ɑu ²¹⁴	beij1234	1393	HORN (ANATOMY)	568	
215	Beijing-Liu-2007-201-65-1	Beijing	Liu-2007-201-65	tɕ j ɑu ²¹⁴	beij1234	1301	FOOT	277	
220	Beijing-Liu-2007-201-69-1	Beijing	Liu-2007-201-69	kʰ a n ⁵¹ + tɕ j ɛ n ⁵¹	beij1234	1409	SEE	689	
221	Beijing-Liu-2007-201-69-1	Beijing	Liu-2007-201-69	kʰ a n ⁵¹ + tɕ j ɛ n ⁵¹	beij1234	1409	SEE	253	
222	Beijing-Liu-2007-201-7-1	Beijing	Liu-2007-201-7	p u ⁵¹	beij1234	1240	NOT	98	
226	Beijing-Liu-2007-201-73-1	Beijing	Liu-2007-201-73	l ɛ ³⁵	beij1234	1446	COME	703	
228	Beijing-Liu-2007-201-75-1	Beijing	Liu-2007-201-75	l ə ŋ ²¹⁴	beij1234	1287	COLD	391	
231	Beijing-Liu-2007-201-78-1	Beijing	Liu-2007-201-78	l y ⁵¹	beij1234	1425	GREEN	709	
232	Beijing-Liu-2007-201-79-1	Beijing	Liu-2007-201-79	m a n ²¹⁴	beij1234	1429	FULL	710	
234	Beijing-Liu-2007-201-80-1	Beijing	Liu-2007-201-80	m i ŋ ³⁵ + ts ɿ ⁰	beij1234	1405	NAME	712	
235	Beijing-Liu-2007-201-80-1	Beijing	Liu-2007-201-80	m i ŋ ³⁵ + ts ɿ ⁰	beij1234	1405	NAME	469	
241	Beijing-Liu-2007-201-84-1	Beijing	Liu-2007-201-84	n ɑ ⁵¹	beij1234	78	THAT	261	
243	Beijing-Liu-2007-201-86-1	Beijing	Liu-2007-201-86	n a n ³⁵ + ʐ ə n ³⁵	beij1234	1554	MAN	471	
244	Beijing-Liu-2007-201-86-1	Beijing	Liu-2007-201-86	n a n ³⁵ + ʐ ə n ³⁵	beij1234	1554	MAN	38	
245	Beijing-Liu-2007-201-87-1	Beijing	Liu-2007-201-87	n i ²¹⁴	beij1234	1215	THOU	739	
247	Beijing-Liu-2007-201-89-1	Beijing	Liu-2007-201-89	n j ɑu ²¹³	beij1234	937	BIRD	745	
249	Beijing-Liu-2007-201-90-1	Beijing	Liu-2007-201-90	n y ²¹⁴ + ʐ ɛ n ³⁵	beij1234	962	WOMAN	39	
250	Beijing-Liu-2007-201-90-1	Beijing	Liu-2007-201-90	n y ²¹⁴ + ʐ ɛ n ³⁵	beij1234	962	WOMAN	38	
253	Beijing-Liu-2007-201-93-1	Beijing	Liu-2007-201-93	pʰ i ³⁵ + f u ⁰	beij1234	763	SKIN	16	
254	Beijing-Liu-2007-201-93-1	Beijing	Liu-2007-201-93	pʰ i ³⁵ + f u ⁰	beij1234	763	SKIN	17	
260	Beijing-Liu-2007-201-97-1	Beijing	Liu-2007-201-97	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	beij1234	98	ALL	54	
261	Beijing-Liu-2007-201-97-1	Beijing	Liu-2007-201-97	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	beij1234	98	ALL	55	
263	Beijing-Liu-2007-201-99-1	Beijing	Liu-2007-201-99	ʐ ə n ³⁵	beij1234	683	PERSON	38	
264	Changsha-Liu-2007-201-1-1	Changsha	Liu-2007-201-1	p ə ²⁴	chan1326	1335	WHITE	71	
265	Changsha-Liu-2007-201-10-1	Changsha	Liu-2007-201-10	ts a n ¹³	chan1326	1203	LONG	112	
273	Changsha-Liu-2007-201-103-1	Changsha	Liu-2007-201-103	y ⁴¹ + f a n ¹³	chan1326	1402	BREAST	126	
274	Changsha-Liu-2007-201-103-1	Changsha	Liu-2007-201-103	y ⁴¹ + f a n ¹³	chan1326	1402	BREAST	127	
275	Changsha-Liu-2007-201-103-2	Changsha	Liu-2007-201-103	l ai ⁴¹ + ts ɿ ⁰	chan1326	1402	BREAST	128	
276	Changsha-Liu-2007-201-103-2	Changsha	Liu-2007-201-103	l ai ⁴¹ + ts ɿ ⁰	chan1326	1402	BREAST	19	
280	Changsha-Liu-2007-201-106-1	Changsha	Liu-2007-201-106	s a ²⁴	chan1326	1417	KILL	135	
281	Changsha-Liu-2007-201-107-1	Changsha	Liu-2007-201-107	s a ³³ + ts ɿ ⁰	chan1326	671	SAND	138	
282	Changsha-Liu-2007-201-107-1	Changsha	Liu-2007-201-107	s a ³³ + ts ɿ ⁰	chan1326	671	SAND	19	
283	Changsha-Liu-2007-201-107-2	Changsha	Liu-2007-201-107	s a ³³ + p o ¹³ + ts ɿ ⁰	chan1326	671	SAND	138	
284	Changsha-Liu-2007-201-107-2	Changsha	Liu-2007-201-107	s a ³³ + p o ¹³ + ts ɿ ⁰	chan1326	671	SAND	28	
285	Changsha-Liu-2007-201-107-2	Changsha	Liu-2007-201-107	s a ³³ + p o ¹³ + ts ɿ ⁰	chan1326	671	SAND	19	
286	Changsha-Liu-2007-201-108-1	Changsha	Liu-2007-201-108	s a n ³³	chan1326	639	MOUNTAIN	139	
287	Changsha-Liu-2007-201-109-1	Changsha	Liu-2007-201-109	s au ³³	chan1326	2102	BURN	140	
291	Changsha-Liu-2007-201-111-1	Changsha	Liu-2007-201-111	s ə ²⁴ + t əu ⁰	chan1326	1205	TONGUE	143	
292	Changsha-Liu-2007-201-111-1	Changsha	Liu-2007-201-111	s ə ²⁴ + t əu ⁰	chan1326	1205	TONGUE	319	
293	Changsha-Liu-2007-201-111-2	Changsha	Liu-2007-201-111	s ə ²⁴ + ts ɿ ⁰	chan1326	1205	TONGUE	143	
294	Changsha-Liu-2007-201-111-2	Changsha	Liu-2007-201-111	s ə ²⁴ + ts ɿ ⁰	chan1326	1205	TONGUE	19	
300	Changsha-Liu-2007-201-114-1	Changsha	Liu-2007-201-114	s ɿ ²⁴	chan1326	1392	LOUSE	155	
301	Changsha-Liu-2007-201-114-2	Changsha	Liu-2007-201-114	s ɿ ²⁴ + p o ¹³ + ts ɿ ⁰	chan1326	1392	LOUSE	155	
302	Changsha-Liu-2007-201-114-2	Changsha	Liu-2007-201-114	s ɿ ²⁴ + p o ¹³ + ts ɿ ⁰	chan1326	1392	LOUSE	28	
303	Changsha-Liu-2007-201-114-2	Changsha	Liu-2007-201-114	s ɿ ²⁴ + p o ¹³ + ts ɿ ⁰	chan1326	1392	LOUSE	19	
305	Changsha-Liu-2007-201-116-1	Changsha	Liu-2007-201-116	s ə n ²⁴ + m o ⁰	chan1326	1236	WHAT	166	
306	Changsha-Liu-2007-201-116-1	Changsha	Liu-2007-201-116	s ə n ²⁴ + m o ⁰	chan1326	1236	WHAT	167	
307	Changsha-Liu-2007-201-116-2	Changsha	Liu-2007-201-116	m o ²⁴ + ts ɿ ⁰	chan1326	1236	WHAT	167	
308	Changsha-Liu-2007-201-116-2	Changsha	Liu-2007-201-116	m o ²⁴ + ts ɿ ⁰	chan1326	1236	WHAT	19	
309	Changsha-Liu-2007-201-117-1	Changsha	Liu-2007-201-117	s ɿ ²⁴ + t əu ⁰	chan1326	857	STONE	180	
310	Changsha-Liu-2007-201-117-1	Changsha	Liu-2007-201-117	s ɿ ²⁴ + t əu ⁰	chan1326	857	STONE	319	
311	Changsha-Liu-2007-201-118-1	Changsha	Liu-2007-201-118	s əu ⁴¹	chan1326	1277	HAND	182	
312	Changsha-Liu-2007-201-118-2	Changsha	Liu-2007-201-118	s əu ⁴¹ + p a ⁵⁵ + ts ɿ ⁰	chan1326	1277	HAND	182	
313	Changsha-Liu-2007-201-118-2	Changsha	Liu-2007-201-118	s əu ⁴¹ + p a ⁵⁵ + ts ɿ ⁰	chan1326	1277	HAND	183	
314	Changsha-Liu-2007-201-118-2	Changsha	Liu-2007-201-118	s əu ⁴¹ + p a ⁵⁵ + ts ɿ ⁰	chan1326	1277	HAND	19	
315	Changsha-Liu-2007-201-119-1	Changsha	Liu-2007-201-119	ɕ y ¹¹	chan1326	906	TREE	134	
317	Changsha-Liu-2007-201-120-1	Changsha	Liu-2007-201-120	ɕ y ¹¹ + p i ¹³	chan1326	1204	BARK	134	
318	Changsha-Liu-2007-201-120-1	Changsha	Liu-2007-201-120	ɕ y ¹¹ + p i ¹³	chan1326	1204	BARK	16	
321	Changsha-Liu-2007-201-122-1	Changsha	Liu-2007-201-122	s ei ¹³	chan1326	1235	WHO	187	
322	Changsha-Liu-2007-201-122-2	Changsha	Liu-2007-201-122	o ¹³ + ts ɿ ⁵⁵ + k o ⁵⁵	chan1326	1235	WHO	171	
323	Changsha-Liu-2007-201-122-2	Changsha	Liu-2007-201-122	o ¹³ + ts ɿ ⁵⁵ + k o ⁵⁵	chan1326	1235	WHO	189	
324	Changsha-Liu-2007-201-122-2	Changsha	Liu-2007-201-122	o ¹³ + ts ɿ ⁵⁵ + k o ⁵⁵	chan1326	1235	WHO	56	
325	Changsha-Liu-2007-201-123-1	Changsha	Liu-2007-201-123	ɕ ɥ ei ⁴¹	chan1326	948	WATER	194	
328	Changsha-Liu-2007-201-125-1	Changsha	Liu-2007-201-125	ɕ ɥ ei ¹¹	chan1326	1585	SLEEP	196	
329	Changsha-Liu-2007-201-125-2	Changsha	Liu-2007-201-125	kʰ w ə n ⁵⁵	chan1326	1585	SLEEP	197	
331	Changsha-Liu-2007-201-127-1	Changsha	Liu-2007-201-127	s o ²⁴	chan1326	1458	SAY	206	
332	Changsha-Liu-2007-201-127-2	Changsha	Liu-2007-201-127	tɕ j a n ⁴¹	chan1326	1458	SAY	210	
335	Changsha-Liu-2007-201-129-1	Changsha	Liu-2007-201-129	s ɿ ⁴¹	chan1326	1494	DIE	222	
336	Changsha-Liu-2007-201-129-2	Changsha	Liu-2007-201-129	k w a ³³	chan1326	1494	DIE	442	
337	Changsha-Liu-2007-201-129-3	Changsha	Liu-2007-201-129	t a n ¹³ + s ɿ ⁵⁵ + l a n ¹³	chan1326	1494	DIE	224	
338	Changsha-Liu-2007-201-129-3	Changsha	Liu-2007-201-129	t a n ¹³ + s ɿ ⁵⁵ + l a n ¹³	chan1326	1494	DIE	184	
339	Changsha-Liu-2007-201-129-3	Changsha	Liu-2007-201-129	t a n ¹³ + s ɿ ⁵⁵ + l a n ¹³	chan1326	1494	DIE	207	
346	Changsha-Liu-2007-201-133-1	Changsha	Liu-2007-201-133	tʰ ai ⁵⁵ + j a n ¹³	chan1326	1343	SUN	239	
347	Changsha-Liu-2007-201-133-1	Changsha	Liu-2007-201-133	tʰ ai ⁵⁵ + j a n ¹³	chan1326	1343	SUN	240	
348	Changsha-Liu-2007-201-134-1	Changsha	Liu-2007-201-134	tʰ a n ⁴¹	chan1326	1411	LIE (REST)	244	
349	Changsha-Liu-2007-201-134-2	Changsha	Liu-2007-201-134	ɕ ɥ ei ¹¹	chan1326	1411	LIE (REST)	196	
353	Changsha-Liu-2007-201-137-1	Changsha	Liu-2007-201-137	tʰ i n ³³ + tɕ j ẽ ⁵⁵	chan1326	1408	HEAR	252	
354	Changsha-Liu-2007-201-137-1	Changsha	Liu-2007-201-137	tʰ i n ³³ + tɕ j ẽ ⁵⁵	chan1326	1408	HEAR	253	
355	Changsha-Liu-2007-201-138-1	Changsha	Liu-2007-201-138	t əu ¹³	chan1326	1256	HEAD	79	
356	Changsha-Liu-2007-201-138-2	Changsha	Liu-2007-201-138	l au ⁴¹ + kʰ o ⁰	chan1326	1256	HEAD	257	
357	Changsha-Liu-2007-201-138-2	Changsha	Liu-2007-201-138	l au ⁴¹ + kʰ o ⁰	chan1326	1256	HEAD	260	
360	Changsha-Liu-2007-201-14-1	Changsha	Liu-2007-201-14	tɕʰ j a ²⁴	chan1326	1336	EAT	549	
361	Changsha-Liu-2007-201-140-1	Changsha	Liu-2007-201-140	tʰ əu ⁴¹ + t i ¹¹	chan1326	1228	EARTH (SOIL)	264	
362	Changsha-Liu-2007-201-140-1	Changsha	Liu-2007-201-140	tʰ əu ⁴¹ + t i ¹¹	chan1326	1228	EARTH (SOIL)	265	
372	Changsha-Liu-2007-201-146-1	Changsha	Liu-2007-201-146	w a n ⁴¹ + s a n ¹¹	chan1326	1233	NIGHT	295	
373	Changsha-Liu-2007-201-146-1	Changsha	Liu-2007-201-146	w a n ⁴¹ + s a n ¹¹	chan1326	1233	NIGHT	249	
374	Changsha-Liu-2007-201-146-2	Changsha	Liu-2007-201-146	j a ¹¹ + k a ⁰ + ts ɿ ⁰	chan1326	1233	NIGHT	300	
375	Changsha-Liu-2007-201-146-2	Changsha	Liu-2007-201-146	j a ¹¹ + k a ⁰ + ts ɿ ⁰	chan1326	1233	NIGHT	304	
376	Changsha-Liu-2007-201-146-2	Changsha	Liu-2007-201-146	j a ¹¹ + k a ⁰ + ts ɿ ⁰	chan1326	1233	NIGHT	19	
377	Changsha-Liu-2007-201-147-1	Changsha	Liu-2007-201-147	w ei ⁴¹ + p a ⁰	chan1326	1220	TAIL	308	
378	Changsha-Liu-2007-201-147-1	Changsha	Liu-2007-201-147	w ei ⁴¹ + p a ⁰	chan1326	1220	TAIL	309	
